brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
Lenovo,A6-9225,Amd,A6-9225 processor,10th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,0,No,No,24990.0,32790,23,3.7,63,12
Lenovo,Ideapad,Amd,Apu dual,10th,4,Ddr4,0,512,Windows,64,0,Casual,0,No,No,19590.0,21325,8,3.6,1894,256
Avita,Pura,Amd,Apu dual,10th,4,Ddr4,128,0,Windows,64,0,Thinnlight,0,No,No,19990.0,27990,28,3.7,1153,159
Avita,Pura,Amd,Apu dual,10th,4,Ddr4,128,0,Windows,64,0,Thinnlight,0,No,No,21490.0,27990,23,3.7,1153,159
Avita,Pura,Amd,Apu dual,10th,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,24990.0,33490,25,3.7,1657,234
Avita,Pura,Amd,Apu dual,10th,8,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,24990.0,33490,25,3.7,1657,234
Hp,Apu,Amd,Apu dual,10th,4,Ddr4,0,1024,Windows,32,0,Casual,0,No,No,20900.0,22825,8,3.9,1185,141
Lenovo,Apu,Amd,Apu dual,10th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,21896.0,0,0,3.9,219,18
Hp,Athlon,Amd,Athlon dual,10th,32,Ddr4,32,0,Windows,32,4,Casual,0,No,No,26899.0,27668,2,0.0,0,0
Acer,Aspire,Amd,Athlon dual,10th,4,Ddr4,256,0,Windows,64,0,Casual,1,No,No,31990.0,36990,13,4.2,76,13
Asus,Expertbook,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,34649.0,41990,17,2.3,3,0
Lenovo,Unknown,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,38999.0,42705,8,3.8,65,5
Lenovo,V15,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,39999.0,43999,9,3.1,8,1
Asus,Expertbook,Intel,Core i5,10th,8,Ddr4,512,0,Windows,32,2,Casual,0,No,No,69990.0,0,0,0.0,0,0
Asus,Vivobook,Intel,Celeron dual,Unknown,4,Ddr4,0,512,Windows,64,0,Casual,0,No,No,26990.0,28990,6,0.0,0,0
Asus,Eeebook,Intel,Celeron dual,Unknown,4,Ddr4,0,512,Windows,64,0,Casual,0,No,No,22990.0,27990,17,0.0,0,0
Asus,Eeebook,Intel,Celeron dual,Unknown,4,Ddr4,0,512,Windows,32,0,Casual,0,No,No,21990.0,25990,15,3.5,31,3
Asus,Expertbook,Intel,Core i5,10th,8,Ddr4,0,1024,Windows,32,2,Casual,0,No,No,58799.0,77990,24,0.0,0,0
Lenovo,Unknown,Intel,Core i5,10th,4,Ddr4,0,1024,Windows,32,0,Casual,0,No,No,49999.0,59000,15,0.0,0,0
Acer,Aspire,Amd,Ryzen,10th,4,Ddr4,0,512,Windows,32,4,Casual,0,No,No,54990.0,89000,38,4.5,3190,414
Acer,Nitro,Amd,Ryzen 5,10th,4,Ddr4,0,512,Windows,32,4,Casual,0,No,No,59990.0,99999,40,4.5,1946,240
Acer,Nitro,Amd,Ryzen 5,10th,4,Ddr4,0,512,Windows,32,6,Casual,0,No,No,93700.0,139000,32,4.5,259,47
Acer,Nitro,Amd,Ryzen 5,10th,4,Ddr4,0,512,Windows,32,4,Casual,0,No,No,72990.0,99999,27,4.5,425,67
Avita,Cosmos,Intel,Celeron dual,Unknown,4,Ddr4,0,512,Windows,64,0,Casual,0,No,No,17490.0,23490,25,3.6,1120,196
Asus,Expertbook,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Casual,0,No,No,35990.0,42990,16,0.0,0,0
Hp,X360,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,Yes,No,56490.0,64923,12,0.0,0,0
Hp,X360,Intel,Core i5,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,No,No,65390.0,76436,14,0.0,0,0
Lenovo,Ideapad,Intel,Celeron dual,Unknown,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,31999.0,38999,17,4.0,286,19
Hp,Celeron,Intel,Celeron dual,Unknown,8,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,32490.0,39288,17,4.0,58,6
Lenovo,Ideapad,Intel,Celeron dual,Unknown,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,31799.0,36999,14,0.0,0,0
Asus,Vivobook,Intel,Celeron dual,Unknown,4,Ddr4,256,0,Windows,64,0,Casual,0,No,No,29890.0,33990,12,4.0,7,0
Asus,Celeron,Intel,Celeron dual,Unknown,4,Ddr4,0,1024,Windows,64,0,Casual,1,No,No,23990.0,26990,11,3.8,15279,1947
Hp,15q,Intel,Core i3,7th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,32955.0,0,0,4.2,311,27
Hp,250-g6,Intel,Core i5,7th,4,Ddr4,0,1024,Windows,32,2,Casual,0,No,No,46200.0,0,0,4.2,47,7
Asus,Unknown,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,34429.0,49990,31,4.1,37,6
Lenovo,Ideapad,Intel,Core i3,10th,8,Ddr4,256,0,Windows,32,0,Thinnlight,2,No,Yes,37990.0,57990,34,4.3,2080,235
Asus,Vivobook,Intel,Core i3,11th,4,Ddr4,256,0,Windows,32,0,Casual,1,No,Yes,35990.0,49990,28,4.3,1479,181
Asus,Vivobook,Intel,Core i3,10th,8,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,33980.0,46990,27,4.4,67,3
Hp,Unknown,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,39990.0,50085,20,4.2,273,30
Dell,Vostro,Intel,Core i3,10th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,39490.0,43312,8,4.3,1267,171
Redmibook,15,Intel,Core i3,11th,8,Ddr4,256,0,Windows,32,0,Thinnlight,1,No,No,38990.0,51999,25,4.3,1063,152
Hp,Pavilion,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,Yes,Yes,53990.0,63510,14,4.6,14,0
Acer,Aspire,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,No,38990.0,52999,26,0.0,0,0
Realme,Book,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,46990.0,54999,14,4.4,6352,1014
Asus,Unknown,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,No,37990.0,52990,28,4.3,284,39
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,No,Yes,37890.0,51990,27,4.6,44,5
Lenovo,Ideapad,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,No,38990.0,60890,35,4.2,33,4
Lenovo,Ideapad,Intel,Core i3,10th,8,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,37990.0,57990,34,4.2,286,36
Dell,Vostro,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,41990.0,54510,22,3.6,10,5
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,No,No,45990.0,58990,22,4.5,816,147
Lenovo,Ideapad,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,No,39990.0,61590,35,4.3,543,65
Dell,Inspiron,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,42490.0,59654,28,4.8,9,1
Infinix,Inbook,Intel,Core i3,10th,8,Lpddr4x,256,0,Windows,64,0,Thinnlight,0,No,No,32990.0,49999,34,4.3,1221,265
Dell,Vostro,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,36990.0,40614,8,4.3,1178,137
Lenovo,Ideapad,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,Yes,Yes,53990.0,75490,28,4.4,299,41
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,36990.0,52990,30,4.4,20,1
Lenovo,Ideapad,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Casual,2,No,No,38940.0,48200,19,4.3,758,64
Dell,Inspiron,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Casual,1,No,Yes,39490.0,55490,28,4.4,634,64
Lenovo,Ideapad,Intel,Core i3,10th,8,Ddr4,256,0,Windows,64,0,Casual,2,No,Yes,39999.0,59999,33,5.0,4,0
Dell,Inspiron,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,No,42990.0,56776,24,4.3,17,2
Dell,Inspiron,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,Yes,No,49990.0,68658,27,4.2,24,5
Dell,Vostro,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,41490.0,55448,25,4.3,1753,165
Dell,Inspiron,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,41990.0,57670,27,4.2,216,21
Lenovo,Ideapad,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,41990.0,57290,26,4.4,1084,160
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,No,No,38490.0,51990,25,3.8,19,3
Lenovo,Unknown,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,38990.0,51544,24,4.4,106,13
Lenovo,Thinkpad,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Casual,1,No,Yes,44990.0,59239,24,4.1,42,4
Lenovo,Ideapad,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,36490.0,53790,32,0.0,0,0
Lenovo,Unknown,Intel,Core i3,10th,8,Ddr4,256,0,Windows,32,0,Casual,0,No,No,38970.0,56590,31,0.0,0,0
Hp,Unknown,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,44900.0,51000,11,4.2,1029,107
Msi,Unknown,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,38990.0,53900,27,4.5,53,11
Dell,Vostro,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,44427.0,0,0,0.0,0,0
Asus,Vivobook,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Casual,1,No,No,35990.0,46990,23,0.0,0,0
Lenovo,Ideapad,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Casual,1,No,Yes,40200.0,49999,19,3.9,48,1
Lenovo,Unknown,Intel,Core i3,10th,4,Ddr4,256,0,Windows,32,0,Casual,0,No,No,40990.0,56800,27,3.7,3,0
Dell,Inspiron,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,No,42490.0,54723,22,0.0,0,0
Realme,Book,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,47999.0,54999,12,4.4,6352,1014
Acer,Chromebook,Intel,Celeron dual,Unknown,4,Ddr4,0,512,Windows,32,0,Casual,0,No,No,23990.0,27000,11,3.3,61,4
Dell,Unknown,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Casual,0,Yes,No,71999.0,72246,0,4.3,97,13
Asus,Vivobook,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Casual,1,No,No,39990.0,52990,24,4.4,181,19
Lenovo,Ideapad,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Casual,1,No,Yes,41998.0,56590,25,4.4,529,39
Asus,Unknown,Intel,Core i3,11th,4,Ddr4,256,0,Windows,32,0,Casual,0,No,No,41990.0,52990,20,0.0,0,0
Lenovo,Ideapad,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Casual,2,No,Yes,39999.0,59999,33,0.0,0,0
Asus,Commercial,Intel,Core i3,10th,4,Ddr4,256,0,Windows,32,0,Casual,0,No,No,39990.0,47990,16,0.0,0,0
Lenovo,Ideapad,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Casual,0,No,No,39998.0,60090,33,4.2,10,1
Hp,14s,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,42490.0,45892,7,4.4,5205,561
Lenovo,Unknown,Intel,Core i3,10th,4,Ddr4,256,0,Windows,32,0,Casual,0,No,No,41990.0,49800,15,3.7,3,0
Asus,Unknown,Intel,Core i3,11th,4,Ddr4,256,0,Windows,32,0,Casual,0,No,No,48490.0,58990,17,0.0,0,0
Hp,Unknown,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,Yes,44376.0,45376,2,4.2,1090,96
Dell,Unknown,Intel,Core i3,11th,4,Ddr4,256,0,Windows,32,0,Casual,0,No,No,43900.0,57095,23,0.0,0,0
Dell,Inspiron,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Casual,1,No,No,46690.0,57095,18,0.0,0,0
Lenovo,Unknown,Intel,Core i3,10th,4,Ddr4,256,0,Windows,32,0,Casual,0,No,No,40990.0,48900,16,5.0,1,1
Dell,Inspiron,Intel,Core i3,10th,4,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,No,39990.0,49821,19,4.0,44,2
Lenovo,V15,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,43990.0,50250,12,0.0,0,0
Asus,Vivobook,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Thinnlight,1,No,No,36990.0,44990,17,4.5,70,9
Dell,Unknown,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,No,No,48500.0,58493,17,0.0,0,0
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,0,No,No,48990.0,58990,16,0.0,0,0
Asus,Chromebook,Intel,Celeron dual,Unknown,4,Lpddr4,0,512,Windows,32,0,Casual,0,No,No,23490.0,29990,21,4.2,632,92
Hp,Pavilion,Intel,Core i3,8th,4,Ddr4,256,0,Windows,64,0,Casual,1,Yes,Yes,54238.0,0,0,4.4,71,8
Asus,Vivobook,Intel,Core i3,10th,8,Ddr4,512,0,Windows,64,0,Casual,1,No,No,37990.0,50990,25,4.3,990,108
Hp,Unknown,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,42990.0,57330,25,4.4,158,18
Hp,Unknown,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,42990.0,49590,13,4.3,681,59
Asus,Vivobook,Intel,Core i3,10th,4,Ddr4,512,0,Windows,64,0,Casual,1,No,No,35990.0,49990,28,4.4,130,12
Redmibook,15,Intel,Core i3,11th,8,Ddr4,512,0,Windows,32,0,Thinnlight,1,No,No,42990.0,55999,23,4.3,1063,152
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,1,No,No,42990.0,57990,25,4.3,30,4
Asus,Vivobook,Intel,Core i3,11th,8,Lpddr4x,512,0,Windows,32,0,Casual,1,Yes,Yes,51990.0,67990,23,4.7,6,2
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,1,No,No,48990.0,62990,22,4.5,174,30
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,1,No,No,42990.0,57990,25,4.5,40,7
Lenovo,Unknown,Intel,Core i3,10th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,No,38990.0,62190,37,3.9,13,1
Dell,Inspiron,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,0,No,No,45990.0,60908,24,4.3,184,29
Hp,Unknown,Intel,Core i3,10th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,42490.0,50294,15,4.3,1296,126
Hp,Unknown,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,43970.0,50196,12,4.3,571,56
Asus,Unknown,Intel,Core i3,10th,4,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,39990.0,49990,20,4.3,2551,297
Msi,Unknown,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,0,No,No,48990.0,49590,1,4.5,17,3
Hp,Pavilion,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,1,No,Yes,54990.0,69267,20,4.5,35,3
Msi,Unknown,Intel,Core i3,10th,8,Ddr4,512,0,Windows,64,0,Thinnlight,0,No,No,40990.0,55990,26,4.4,118,17
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,41990.0,55990,25,0.0,0,0
Lenovo,Ideapad,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,Yes,No,54990.0,79690,30,4.5,245,34
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,1,No,Yes,44990.0,46390,3,4.4,2058,305
Hp,Unknown,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,1,No,No,41250.0,46602,11,4.1,117,11
Hp,Unknown,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,0,No,No,44990.0,52900,14,0.0,0,0
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,1,No,No,42990.0,57990,25,4.7,74,11
Dell,Unknown,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,1,Yes,No,60790.0,78307,22,4.4,10,1
Hp,Unknown,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,0,No,No,45650.0,55202,17,4.1,39,4
Dell,Vostro,Intel,Core i3,10th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,41990.0,49826,15,3.9,29,7
Dell,Inspiron,Intel,Core i3,10th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,No,45490.0,60046,24,4.2,43,4
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,44990.0,58990,23,0.0,0,0
Lenovo,Ideapad,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,2,No,Yes,42990.0,63790,32,4.4,984,99
Hp,15s,Intel,Core i3,11th,4,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,45490.0,46990,3,4.3,523,66
Hp,Unknown,Intel,Core i3,10th,4,Ddr4,512,0,Windows,32,0,Casual,0,No,No,38799.0,47916,19,4.4,30,1
Hp,Pavilion,Intel,Core i3,11th,4,Ddr4,512,0,Windows,64,0,Casual,1,Yes,Yes,69267.0,0,0,0.0,0,0
Asus,Vivobook,Intel,Core i3,11th,4,Ddr4,512,0,Windows,64,0,Casual,1,No,Yes,51649.0,62990,18,0.0,0,0
Hp,Unknown,Intel,Core i3,11th,4,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,47990.0,51165,6,4.3,1605,215
Asus,Vivobook,Intel,Core i3,10th,4,Ddr4,512,0,Windows,64,0,Casual,1,No,No,40990.0,49990,18,4.4,4008,519
Asus,Unknown,Intel,Core i3,10th,4,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,42990.0,50990,15,4.4,1869,234
Asus,Vivobook,Intel,Core i3,11th,4,Ddr4,512,0,Windows,64,0,Casual,1,No,No,44890.0,56999,21,3.9,7,0
Asus,Vivobook,Intel,Core i3,10th,4,Ddr4,512,0,Windows,64,0,Casual,1,No,No,41490.0,49990,17,4.4,4008,519
Hp,15s,Intel,Core i3,11th,4,Ddr4,512,0,Windows,32,0,Thinnlight,1,No,No,50990.0,51748,1,0.0,0,0
Hp,Unknown,Intel,Core i3,11th,4,Ddr4,512,0,Windows,64,0,Thinnlight,1,No,Yes,48900.0,50000,2,4.3,1278,135
Dell,Vostro,Intel,Core i3,10th,4,Ddr4,512,0,Windows,64,0,Casual,0,No,No,41790.0,54784,23,0.0,0,0
Lenovo,Ideapad,Intel,Core i3,11th,4,Ddr4,512,0,Windows,64,0,Casual,1,Yes,Yes,57999.0,85000,31,3.4,10,2
Dell,Inspiron,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Thinnlight,0,No,No,45930.0,58229,21,0.0,0,0
Hp,Pavilion,Intel,Core i3,11th,8,Ddr4,512,0,Windows,64,0,Casual,1,Yes,Yes,55490.0,65853,15,4.3,143,15
Asus,Vivobook,Intel,Core i3,10th,8,Ddr4,0,1024,Windows,64,0,Casual,1,No,No,32890.0,46990,30,3.9,28,4
Lenovo,Ideapad,Intel,Core i3,10th,8,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,35990.0,57290,37,4.0,2124,233
Dell,Inspiron,Intel,Core i3,11th,8,Ddr4,0,1024,Windows,64,0,Thinnlight,0,No,No,42490.0,50693,16,4.0,276,40
Dell,Vostro,Intel,Core i3,11th,8,Ddr4,0,1024,Windows,64,0,Thinnlight,0,No,No,42190.0,44780,5,3.9,250,21
Dell,Vostro,Intel,Core i3,10th,8,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,39490.0,54517,27,4.0,1917,189
Hp,15s,Intel,Core i3,11th,8,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,43690.0,48933,10,4.1,4999,490
Asus,Vivobook,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Casual,1,No,No,35990.0,48990,26,3.8,17,0
Dell,3000,Intel,Core i3,11th,8,Ddr4,0,1024,Windows,32,0,Casual,0,No,No,43800.0,55506,21,4.2,17,0
Lenovo,Unknown,Intel,Core i3,10th,8,Ddr4,0,1024,Windows,32,0,Casual,0,No,No,38990.0,55890,30,0.0,0,0
Asus,Vivobook,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,No,34990.0,40990,14,3.7,4203,490
Asus,Vivobook,Intel,Core i3,11th,8,Ddr4,0,1024,Windows,64,0,Casual,1,No,No,38900.0,51990,25,3.9,13,0
Dell,Inspiron,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,No,39990.0,55534,27,3.8,15,1
Dell,Inspiron,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,32,0,Casual,0,No,No,40890.0,45990,11,4.0,527,46
Lenovo,Unknown,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,No,36990.0,57990,36,3.7,103,10
Hp,15s,Intel,Core i3,11th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,39990.0,45514,12,3.9,324,45
Hp,Unknown,Intel,Core i3,11th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,41990.0,47264,11,4.0,69,5
Dell,Unknown,Intel,Core i3,11th,4,Ddr4,0,1024,Windows,32,0,Casual,0,No,No,43970.0,46138,4,3.9,16,0
Hp,Notebook,Intel,Core i3,11th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,No,39790.0,43296,8,3.9,40,3
Asus,Unknown,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,32,0,Thinnlight,0,No,No,35590.0,45990,22,3.4,12,1
Hp,14s,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,36490.0,42787,14,3.8,1146,175
Asus,Vivobook,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,38990.0,45990,15,4.0,1850,216
Asus,Unknown,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,32,0,Thinnlight,0,No,No,33990.0,39990,15,3.7,43,7
Dell,Inspiron,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Casual,1,No,Yes,43400.0,49000,11,4.1,231,26
Asus,Chromebook,Intel,Celeron dual,Unknown,4,Lpddr4,0,512,Windows,32,0,Casual,0,No,No,24990.0,30990,19,4.2,502,93
Hp,15s,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,40750.0,43090,5,4.1,1096,116
Dell,Inspiron,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,43000.0,46629,7,4.1,313,35
Asus,Vivo,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,38000.0,42990,11,4.7,7,0
Dell,Inspiron,Intel,Core i3,11th,8,Ddr4,0,1024,Windows,64,0,Thinnlight,1,No,Yes,37990.0,51493,26,3.7,265,46
Hp,Da,Intel,Core i3,7th,8,Ddr4,0,1024,Windows,64,2,Casual,0,No,No,49279.0,0,0,4.5,38,3
